sale_id,employee_id,sale_date,product,category,amount
S01718,93,2025-02-11,Mouse,Accessories,8478.45
S01242,76,2025-02-12,Laptop,Electronics,10722.03
S01962,94,2025-02-12,Monitor,Electronics,11476.75
S01045,53,2025-02-12,Camera,Electronics,7564.66
S00202,65,2025-02-13,Printer,Office,19150.61
S01148,87,2025-02-13,Printer,Office,7520.36
S01226,29,2025-02-13,Phone,Electronics,18947.44
S01858,44,2025-02-13,Printer,Office,6306.55
S01149,59,2025-02-13,Monitor,Electronics,18368.64
S00894,64,2025-02-13,Printer,Office,19223.2
S01075,33,2025-02-14,Camera,Electronics,6824.24
S01346,26,2025-02-14,Camera,Electronics,4850.77
S00828,79,2025-02-14,Speaker,Audio,8556.21
S01169,14,2025-02-15,Camera,Electronics,10905.16
S01387,90,2025-02-15,Laptop,Electronics,11693.06
S01601,27,2025-02-15,Camera,Electronics,6893.89
S01382,98,2025-02-15,Camera,Electronics,3593.34
S01749,86,2025-02-16,Laptop,Electronics,19208.76
S01276,11,2025-02-16,Laptop,Electronics,4088.34
S01095,1,2025-02-16,Printer,Office,7525.78
S00042,67,2025-02-16,Laptop,Electronics,9588.79
S00109,48,2025-02-17,Camera,Electronics,6138.71
S01851,45,2025-02-17,Camera,Electronics,12081.0
S01965,20,2025-02-18,Laptop,Electronics,7932.95
S00489,25,2025-02-18,Camera,Electronics,5865.32
S01835,26,2025-02-19,Tablet,Electronics,8060.84
S01559,40,2025-02-20,Printer,Office,4596.0
S01937,70,2025-02-20,Laptop,Electronics,7084.89
S00875,24,2025-02-20,Tablet,Electronics,8991.25
S00329,33,2025-02-20,Mouse,Accessories,19480.47
S01020,51,2025-02-21,Tablet,Electronics,6475.56
S01040,40,2025-02-21,Laptop,Electronics,14760.92
S01292,99,2025-02-21,Laptop,Electronics,6449.37
S00090,99,2025-02-22,Camera,Electronics,3599.25
S01602,17,2025-02-22,Tablet,Electronics,18371.83
S01342,89,2025-02-23,Mouse,Accessories,8316.05
S00598,74,2025-02-23,Monitor,Electronics,4205.3
S01261,92,2025-02-23,Mouse,Accessories,9992.21
S00304,69,2025-02-24,Printer,Office,4715.27
S01179,85,2025-02-24,Mouse,Accessories,10793.74
S00371,49,2025-02-24,Keyboard,Accessories,6150.48
S00125,8,2025-02-25,Headphones,Accessories,10688.25
S00907,5,2025-02-25,Camera,Electronics,13175.87
S01566,13,2025-02-26,Camera,Electronics,3528.89
S01933,14,2025-02-26,Tablet,Electronics,7299.89
S00983,2,2025-02-26,Monitor,Electronics,12902.4
S00780,40,2025-02-26,Camera,Electronics,1939.26
S01639,82,2025-02-26,Keyboard,Accessories,5203.26
S01534,60,2025-02-27,Mouse,Accessories,9039.48
S01313,51,2025-02-27,Camera,Electronics,8426.68
S00589,81,2025-02-28,Mouse,Accessories,16498.78
S00673,53,2025-02-28,Phone,Electronics,7514.5
S00210,98,2025-02-28,Phone,Electronics,6992.57
S00664,56,2025-02-28,Tablet,Electronics,9818.68
S00018,55,2025-02-28,Monitor,Electronics,20892.71
S01948,36,2025-03-01,Laptop,Electronics,4629.35
S01220,25,2025-03-01,Camera,Electronics,14322.93
S00249,19,2025-03-01,Camera,Electronics,10979.58
S01107,49,2025-03-01,Mouse,Accessories,5320.99
S01689,47,2025-03-01,Laptop,Electronics,4310.19
S00550,77,2025-03-02,Tablet,Electronics,13282.03
S01537,28,2025-03-02,Speaker,Audio,11317.37
S00400,19,2025-03-02,Speaker,Audio,7832.04
S00442,40,2025-03-02,Headphones,Accessories,9689.29
S00464,19,2025-03-03,Tablet,Electronics,10808.96
S01658,75,2025-03-03,Printer,Office,22994.48
S01568,89,2025-03-03,Speaker,Audio,4096.17
S01728,64,2025-03-03,Speaker,Audio,16929.24
S01066,59,2025-03-04,Monitor,Electronics,3417.49
S00266,96,2025-03-05,Keyboard,Accessories,2646.37
S01723,46,2025-03-06,Headphones,Accessories,5496.53
S01082,85,2025-03-06,Speaker,Audio,8155.87
S00537,60,2025-03-07,Laptop,Electronics,6551.03
S01951,47,2025-03-07,Keyboard,Accessories,5454.99
S01874,54,2025-03-08,Phone,Electronics,9959.4
S01972,84,2025-03-08,Headphones,Accessories,10353.33
S00332,43,2025-03-08,Keyboard,Accessories,13527.79
S00512,49,2025-03-09,Tablet,Electronics,15849.54
S01564,48,2025-03-09,Camera,Electronics,9293.28
S01675,32,2025-03-09,Monitor,Electronics,10798.36
S00957,55,2025-03-09,Mouse,Accessories,13733.63
S01702,34,2025-03-09,Phone,Electronics,7730.11
S01836,3,2025-03-10,Speaker,Audio,10609.27
S00674,66,2025-03-10,Camera,Electronics,7137.3
S00979,47,2025-03-10,Camera,Electronics,12664.45
S00731,1,2025-03-10,Tablet,Electronics,4013.55
S00029,16,2025-03-10,Speaker,Audio,2499.32
S01547,67,2025-03-10,Laptop,Electronics,26131.42
S01871,35,2025-03-10,Tablet,Electronics,2881.69
S01339,72,2025-03-11,Keyboard,Accessories,9814.89
S01922,42,2025-03-11,Keyboard,Accessories,9511.29
S00146,30,2025-03-11,Speaker,Audio,7248.07
S00190,26,2025-03-11,Laptop,Electronics,4927.78
S01921,87,2025-03-11,Monitor,Electronics,8217.84
S00097,66,2025-03-11,Laptop,Electronics,7803.82
S01969,1,2025-03-12,Tablet,Electronics,5546.95
S00445,50,2025-03-12,Tablet,Electronics,9862.68
S01240,37,2025-03-12,Phone,Electronics,9161.18
S00825,62,2025-03-13,Speaker,Audio,6694.46
S00760,74,2025-03-13,Camera,Electronics,4269.86
S00122,38,2025-03-13,Phone,Electronics,9769.33
S00520,87,2025-03-15,Laptop,Electronics,4893.35
S01203,53,2025-03-15,Speaker,Audio,1796.35
S00510,18,2025-03-15,Monitor,Electronics,5884.84
S00494,58,2025-03-16,Printer,Office,16294.82
S01014,5,2025-03-17,Headphones,Accessories,6397.4
S00219,63,2025-03-17,Monitor,Electronics,18726.66
S01515,42,2025-03-18,Laptop,Electronics,4207.28
S00040,19,2025-03-18,Monitor,Electronics,2179.57
S00091,89,2025-03-18,Speaker,Audio,4161.11
S00513,14,2025-03-18,Printer,Office,10572.63
S00835,5,2025-03-18,Speaker,Audio,10703.71
S00937,51,2025-03-18,Speaker,Audio,4869.95
S00053,11,2025-03-18,Mouse,Accessories,6815.73
S00079,3,2025-03-18,Keyboard,Accessories,11163.05
S01329,80,2025-03-19,Tablet,Electronics,9352.24
S01150,72,2025-03-19,Laptop,Electronics,9210.03
S01432,14,2025-03-19,Laptop,Electronics,8462.53
S00644,98,2025-03-21,Laptop,Electronics,13213.06
S00629,57,2025-03-21,Mouse,Accessories,4890.45
S00330,61,2025-03-22,Monitor,Electronics,11479.34
S00795,22,2025-03-22,Keyboard,Accessories,10273.25
S01580,31,2025-03-22,Laptop,Electronics,17007.63
S01984,61,2025-03-22,Keyboard,Accessories,12204.34
S01598,96,2025-03-22,Laptop,Electronics,6592.54
S00030,97,2025-03-22,Mouse,Accessories,15311.66
S00898,93,2025-03-23,Keyboard,Accessories,8335.52
S00453,8,2025-03-23,Phone,Electronics,3821.53
S00613,34,2025-03-24,Tablet,Electronics,12130.65
S01486,9,2025-03-25,Speaker,Audio,16577.75
S00078,80,2025-03-25,Tablet,Electronics,7330.27
S01789,40,2025-03-25,Laptop,Electronics,13603.96
S00726,48,2025-03-26,Headphones,Accessories,10001.97
S00677,75,2025-03-27,Phone,Electronics,2789.92
S00666,74,2025-03-27,Mouse,Accessories,8483.8
S00479,92,2025-03-27,Mouse,Accessories,9305.59
S01765,32,2025-03-27,Printer,Office,6750.69
S01217,9,2025-03-27,Mouse,Accessories,8982.58
S00232,97,2025-03-27,Monitor,Electronics,15338.05
S00114,17,2025-03-27,Speaker,Audio,1628.76
S00179,27,2025-03-27,Laptop,Electronics,16156.56
S01166,37,2025-03-28,Speaker,Audio,13316.18
S00497,32,2025-03-28,Tablet,Electronics,3857.98
S01563,59,2025-03-28,Tablet,Electronics,11453.03
S00160,63,2025-03-28,Headphones,Accessories,7425.24
S01457,46,2025-03-28,Laptop,Electronics,9985.07
S01016,72,2025-03-29,Speaker,Audio,15551.81
S01981,28,2025-03-29,Printer,Office,3246.1
S01321,61,2025-03-29,Tablet,Electronics,6335.82
S00424,58,2025-03-29,Camera,Electronics,13543.62
S00910,26,2025-03-29,Headphones,Accessories,16284.65
S01380,60,2025-03-29,Mouse,Accessories,22565.98
S01747,60,2025-03-30,Laptop,Electronics,8791.21
S00033,70,2025-03-30,Phone,Electronics,11500.13
S01115,1,2025-03-30,Headphones,Accessories,2607.77
S00580,77,2025-03-30,Laptop,Electronics,7206.42
S01817,32,2025-03-31,Laptop,Electronics,12790.92
S01131,10,2025-03-31,Phone,Electronics,16720.8
S01206,86,2025-03-31,Laptop,Electronics,2615.5
S00075,99,2025-03-31,Monitor,Electronics,12744.66
S01902,79,2025-04-01,Printer,Office,9523.61
S00391,89,2025-04-01,Mouse,Accessories,1458.92
S00831,26,2025-04-02,Speaker,Audio,10708.98
S00283,57,2025-04-02,Keyboard,Accessories,5552.6
S00730,36,2025-04-02,Monitor,Electronics,16904.33
S01038,54,2025-04-03,Speaker,Audio,10798.63
S01655,79,2025-04-03,Camera,Electronics,7496.3
S00500,47,2025-04-03,Phone,Electronics,18688.77
S01314,94,2025-04-03,Camera,Electronics,7305.78
S01717,17,2025-04-03,Headphones,Accessories,8805.82
S00614,92,2025-04-03,Printer,Office,11312.77
S00565,5,2025-04-03,Laptop,Electronics,5977.21
S00714,49,2025-04-03,Camera,Electronics,3846.36
S00763,17,2025-04-04,Speaker,Audio,9021.1
S00508,20,2025-04-05,Phone,Electronics,4839.59
S00364,21,2025-04-05,Mouse,Accessories,4544.23
S00717,45,2025-04-05,Speaker,Audio,5784.03
S00403,71,2025-04-05,Phone,Electronics,4771.57
S01451,61,2025-04-05,Keyboard,Accessories,5773.28
S00964,74,2025-04-05,Phone,Electronics,17262.09
S00594,53,2025-04-05,Headphones,Accessories,6136.37
S01445,49,2025-04-05,Camera,Electronics,12958.81
S00022,38,2025-04-05,Laptop,Electronics,10189.58
S01114,18,2025-04-06,Keyboard,Accessories,14561.4
S01954,10,2025-04-06,Keyboard,Accessories,17740.74
S01884,58,2025-04-06,Keyboard,Accessories,7658.28
S00319,2,2025-04-06,Speaker,Audio,5944.08
S01409,18,2025-04-07,Tablet,Electronics,6191.47
S01681,75,2025-04-07,Headphones,Accessories,3344.52
S00507,19,2025-04-07,Keyboard,Accessories,3398.27
S01140,50,2025-04-08,Speaker,Audio,5316.05
S01646,36,2025-04-09,Printer,Office,19986.53
S00985,95,2025-04-09,Tablet,Electronics,9586.67
S00585,21,2025-04-09,Printer,Office,13759.91
S00819,75,2025-04-09,Laptop,Electronics,6307.45
S01135,97,2025-04-11,Keyboard,Accessories,13214.98
S00168,95,2025-04-11,Camera,Electronics,9079.11
S01195,12,2025-04-11,Keyboard,Accessories,9112.25
S00291,69,2025-04-11,Camera,Electronics,10545.48
S01883,31,2025-04-11,Monitor,Electronics,7610.32
S01211,59,2025-04-12,Keyboard,Accessories,5970.74
S01694,19,2025-04-12,Mouse,Accessories,5265.49
S01359,14,2025-04-13,Camera,Electronics,3758.34
S01460,62,2025-04-13,Headphones,Accessories,12627.47
S01444,15,2025-04-14,Mouse,Accessories,12067.74
S01341,82,2025-04-14,Headphones,Accessories,12191.36
S01958,74,2025-04-14,Headphones,Accessories,5580.48
S00082,54,2025-04-14,Phone,Electronics,13982.03
S00546,17,2025-04-15,Headphones,Accessories,4171.15
S01093,49,2025-04-15,Tablet,Electronics,15401.64
S00349,81,2025-04-15,Mouse,Accessories,5119.78
S01069,24,2025-04-15,Monitor,Electronics,6443.56
S00486,92,2025-04-15,Headphones,Accessories,18519.28
S01577,5,2025-04-16,Laptop,Electronics,10135.65
S01953,11,2025-04-16,Printer,Office,8784.91
S00112,7,2025-04-17,Mouse,Accessories,11028.97
S01108,45,2025-04-17,Laptop,Electronics,4912.27
S01721,79,2025-04-17,Mouse,Accessories,10042.29
S00214,63,2025-04-17,Tablet,Electronics,4523.16
S00789,59,2025-04-18,Speaker,Audio,5561.45
S01214,81,2025-04-18,Keyboard,Accessories,12819.54
S01157,34,2025-04-19,Laptop,Electronics,8996.4
S01556,88,2025-04-20,Laptop,Electronics,1297.18
S00271,61,2025-04-20,Camera,Electronics,7478.12
S01963,1,2025-04-20,Monitor,Electronics,11155.49
S01807,44,2025-04-20,Printer,Office,3106.71
S01119,92,2025-04-21,Printer,Office,9459.07
S01130,32,2025-04-21,Speaker,Audio,5718.8
S01813,9,2025-04-21,Monitor,Electronics,8402.01
S00541,41,2025-04-22,Tablet,Electronics,9149.88
S01913,21,2025-04-22,Phone,Electronics,9351.7
S00844,47,2025-04-22,Phone,Electronics,17408.97
S00650,63,2025-04-22,Keyboard,Accessories,9823.02
S01570,42,2025-04-22,Keyboard,Accessories,17448.72
S01504,98,2025-04-23,Mouse,Accessories,15774.39
S01407,13,2025-04-23,Headphones,Accessories,8653.64
S00573,26,2025-04-23,Headphones,Accessories,11887.34
S00227,42,2025-04-24,Mouse,Accessories,16270.04
S00459,45,2025-04-24,Keyboard,Accessories,7012.27
S01862,83,2025-04-24,Laptop,Electronics,14067.72
S01397,82,2025-04-24,Camera,Electronics,9705.0
S01249,6,2025-04-25,Mouse,Accessories,5966.26
S00377,23,2025-04-25,Tablet,Electronics,5549.85
S01966,8,2025-04-25,Monitor,Electronics,7918.76
S00526,16,2025-04-25,Camera,Electronics,12119.05
S01816,95,2025-04-25,Phone,Electronics,10384.9
S00924,97,2025-04-25,Camera,Electronics,7334.96
S01907,42,2025-04-25,Mouse,Accessories,2942.04
S00793,33,2025-04-26,Printer,Office,4461.78
S01293,81,2025-04-26,Printer,Office,15035.94
S01920,94,2025-04-27,Tablet,Electronics,10868.52
S01224,26,2025-04-27,Speaker,Audio,11109.84
S01741,17,2025-04-28,Camera,Electronics,9549.06
S01906,39,2025-04-28,Laptop,Electronics,3802.58
S01629,91,2025-04-28,Headphones,Accessories,7710.37
S00991,69,2025-04-29,Laptop,Electronics,10234.59
S01384,37,2025-04-29,Printer,Office,7197.58
S01141,7,2025-04-30,Tablet,Electronics,9704.69
S01828,75,2025-04-30,Tablet,Electronics,2498.8
S01644,29,2025-04-30,Phone,Electronics,3665.78
S01044,73,2025-04-30,Tablet,Electronics,17399.73
S01745,38,2025-04-30,Speaker,Audio,7187.95
S01539,77,2025-05-01,Monitor,Electronics,11679.07
S00223,58,2025-05-01,Speaker,Audio,13392.53
S01234,42,2025-05-01,Mouse,Accessories,12506.75
S00670,69,2025-05-01,Headphones,Accessories,11486.32
S01373,18,2025-05-01,Phone,Electronics,4508.44
S00748,59,2025-05-02,Speaker,Audio,1797.19
S00379,96,2025-05-02,Phone,Electronics,12552.19
S00620,54,2025-05-02,Speaker,Audio,3811.72
S00015,70,2025-05-03,Phone,Electronics,10058.92
S01707,24,2025-05-04,Headphones,Accessories,8779.92
S01634,17,2025-05-04,Mouse,Accessories,8774.26
S00101,61,2025-05-04,Printer,Office,13332.61
S00023,24,2025-05-05,Camera,Electronics,16357.57
S01503,14,2025-05-05,Phone,Electronics,16783.43
S01367,93,2025-05-05,Phone,Electronics,5808.78
S00443,42,2025-05-05,Phone,Electronics,16171.65
S00972,52,2025-05-05,Phone,Electronics,13959.38
S01697,3,2025-05-05,Speaker,Audio,3277.88
S01989,37,2025-05-06,Monitor,Electronics,10323.85
S00340,44,2025-05-07,Laptop,Electronics,6605.59
S00306,34,2025-05-07,Tablet,Electronics,22634.16
S00388,17,2025-05-07,Mouse,Accessories,3924.52
S00696,61,2025-05-08,Tablet,Electronics,12834.79
S01124,4,2025-05-08,Mouse,Accessories,13813.99
S01126,8,2025-05-08,Mouse,Accessories,21921.31
S01829,84,2025-05-08,Monitor,Electronics,13062.99
S00796,21,2025-05-08,Monitor,Electronics,5680.73
S00428,5,2025-05-08,Phone,Electronics,7821.53
S01932,60,2025-05-09,Headphones,Accessories,4674.44
S01241,25,2025-05-10,Mouse,Accessories,6126.31
S01201,9,2025-05-10,Monitor,Electronics,10294.74
S01061,91,2025-05-11,Camera,Electronics,4864.98
S00055,57,2025-05-11,Speaker,Audio,5765.67
S01928,69,2025-05-11,Mouse,Accessories,10835.21
S00870,73,2025-05-11,Laptop,Electronics,12363.8
S01529,48,2025-05-12,Tablet,Electronics,3414.03
S01154,97,2025-05-12,Mouse,Accessories,12091.87
S00582,98,2025-05-12,Laptop,Electronics,3458.2
S01136,87,2025-05-12,Laptop,Electronics,4349.07
S01842,12,2025-05-12,Phone,Electronics,12776.76
S01481,5,2025-05-13,Camera,Electronics,16610.24
S00478,20,2025-05-13,Speaker,Audio,5466.17
S01324,57,2025-05-13,Tablet,Electronics,25239.71
S00561,66,2025-05-13,Monitor,Electronics,12449.11
S01676,2,2025-05-13,Monitor,Electronics,13498.81
S00370,99,2025-05-13,Camera,Electronics,5816.71
S01753,11,2025-05-14,Headphones,Accessories,9027.11
S01443,73,2025-05-14,Phone,Electronics,5345.36
S00806,24,2025-05-14,Laptop,Electronics,11986.96
S01794,33,2025-05-14,Camera,Electronics,5520.06
S00899,72,2025-05-15,Camera,Electronics,4337.81
S01178,23,2025-05-15,Tablet,Electronics,4636.61
S00264,1,2025-05-15,Monitor,Electronics,10024.69
S00840,84,2025-05-15,Speaker,Audio,18150.73
S01737,25,2025-05-16,Keyboard,Accessories,7643.43
S00476,92,2025-05-16,Monitor,Electronics,6881.87
S01505,11,2025-05-17,Monitor,Electronics,11316.97
S00736,47,2025-05-17,Printer,Office,23393.18
S01926,2,2025-05-17,Laptop,Electronics,14440.96
S00116,48,2025-05-17,Keyboard,Accessories,11071.04
S00005,87,2025-05-18,Camera,Electronics,11371.29
S00567,65,2025-05-18,Phone,Electronics,7973.33
S01670,39,2025-05-18,Tablet,Electronics,9904.78
S00170,58,2025-05-18,Keyboard,Accessories,11035.24
S01594,93,2025-05-18,Tablet,Electronics,8040.21
S01985,20,2025-05-18,Keyboard,Accessories,6121.64
S00314,69,2025-05-19,Printer,Office,5637.59
S00722,86,2025-05-19,Phone,Electronics,13375.32
S01435,18,2025-05-20,Printer,Office,15450.17
S00733,99,2025-05-20,Printer,Office,13294.6
S01608,35,2025-05-21,Speaker,Audio,18197.11
S01459,11,2025-05-21,Keyboard,Accessories,6976.68
S00169,54,2025-05-21,Keyboard,Accessories,16989.49
S00904,35,2025-05-21,Laptop,Electronics,7302.3
S00895,22,2025-05-22,Monitor,Electronics,10973.11
S00335,65,2025-05-22,Monitor,Electronics,6298.45
S01024,41,2025-05-23,Headphones,Accessories,8898.66
S01759,18,2025-05-23,Headphones,Accessories,8133.93
S00073,32,2025-05-23,Mouse,Accessories,13150.0
S01936,2,2025-05-24,Camera,Electronics,9366.3
S01286,69,2025-05-24,Printer,Office,7655.32
S00195,13,2025-05-24,Monitor,Electronics,7511.34
S00243,55,2025-05-24,Headphones,Accessories,12452.86
S00491,33,2025-05-25,Mouse,Accessories,5627.17
S01549,40,2025-05-25,Tablet,Electronics,12685.59
S00290,62,2025-05-26,Headphones,Accessories,19023.1
S00746,26,2025-05-26,Speaker,Audio,16725.1
S00262,1,2025-05-26,Phone,Electronics,4941.65
S01183,29,2025-05-27,Camera,Electronics,12953.89
S01097,13,2025-05-27,Speaker,Audio,5266.64
S00070,12,2025-05-27,Camera,Electronics,15459.52
S01450,37,2025-05-27,Monitor,Electronics,13372.85
S00437,58,2025-05-28,Phone,Electronics,9380.18
S00669,88,2025-05-29,Mouse,Accessories,8935.94
S01000,90,2025-05-29,Phone,Electronics,12805.38
S01146,67,2025-05-29,Laptop,Electronics,7122.76
S01880,49,2025-05-29,Camera,Electronics,2857.04
S01055,90,2025-05-29,Camera,Electronics,4274.88
S01641,14,2025-05-30,Laptop,Electronics,7694.12
S01507,67,2025-05-30,Headphones,Accessories,3656.86
S01619,79,2025-05-31,Mouse,Accessories,13932.36
S00346,2,2025-05-31,Monitor,Electronics,3540.9
S01693,6,2025-06-01,Headphones,Accessories,8546.23
S00418,23,2025-06-03,Monitor,Electronics,7798.82
